id,name,type,cost,notes,integrations, url,last_reviewed_date,company_id,created_at
56,Loopnet,Real Estate,,"Some free options. The usecase for this one is a little odd: if you want to check on the status of a company understanding if the commercial space is up for sale might offer some clues that are otherwise invisible at other sources. ",,,,,
57,DonorPerfect,,,,,,,,
58,DonorAtlas,,,,,,,,
59,WealthEngine,,,,,,,,
60,Windfall,,,,,,,,
61,Code-fi (Pyro Solutions),,,,,,,,
62,DatabaseUSA,Data Broker,,,,,,,
63,Dun & Bradstreet ,Data Broker,,,,,,,
64,Edgar (SEC),Data Broker,,,,,,,
65,Larkspur,,,,,,,,
66,Monday.com,,,,,,,,
67,Pipl.com,,,,,,,,
68,PowerQuery,Data Analytics,,,,,,,
69,Reclaim the Records,Data Broker,,,,,,,
70,RelSci,,,,,,,,
71,SalesNavigator,,,,,,,,
72,Verigift,,,,,,,,
73,Wealth-X,,,,,,,,
74,ZoomInfo,,,,,,,,
75,TheOrg,,,,,,,,
76,LittleSis,Due Dilligence,,,,https://littlesis.org/database,2025-12-5,,
77,Maltego,,,,,,,,
78,OpenCorporates,,,,,,,,
79,CorpWatch API,,,,,,,,
80,BuiltWith,,,,,,,,
81,Whois/ICANN Lookup,,,,,,,,
82,Wayback Machine,,,,,,,,
83,ProQuest,,,,,,,,
84,DataAxle Reference Solutions,,,,,,,,
85,Gephi,,,,,,,,
86,Google Alerts,,,,,,,,
87,TikTok,Social Media,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
